gene_oid	gene_length	percent_identity	query_start	query_end	subj_start	subj_end	evalue	bit_score	cog_id	cog_name	cog_length
2508550426	349	51.73	1	335	11	350	1.0e-87	316	COG5322	Predicted amino acid dehydrogenase	351
2508550428	268	37.15	9	260	3	248	8.0e-42	164	COG1402	 Creatinine amidohydrolase/Fe(II)-dependent formamide hydrolase involved in riboflavin and F420 biosynthesis	250
2508550431	271	36.41	55	270	50	248	2.0e-35	142	COG1496	Copper oxidase (laccase) domain	249
2508550432	559	37.64	5	550	1	484	3.0e-118	419	COG2509	Uncharacterized FAD-dependent dehydrogenase	486
2508550434	816	46.82	6	806	3	740	0.0e+00	667	COG0574	Phosphoenolpyruvate synthase/pyruvate phosphate dikinase	740
2508550437	668	52.85	73	630	3	549	0.0e+00	626	COG0028	Acetolactate synthase large subunit or other thiamine pyrophosphate-requiring enzyme	550
2508550439	391	47.87	1	328	3	320	2.0e-105	376	COG0276	Protoheme ferro-lyase (ferrochelatase)	320
2508550441	234	58.59	37	234	2	198	1.0e-67	249	COG2109	ATP:corrinoid adenosyltransferase	198
2508550443	239	64.83	1	235	3	238	7.0e-90	323	COG0528	Uridylate kinase	238
2508550444	179	57.87	2	179	10	187	5.0e-59	220	COG0233	Ribosome recycling factor	187
2508550445	379	29.24	6	334	3	341	6.0e-44	171	COG0644	Dehydrogenase (flavoprotein)	396
2508550447	389	37.74	5	318	1	238	3.0e-61	229	COG0176	Transaldolase	239
2508550448	615	32.94	43	604	16	599	7.0e-103	368	COG0768	Cell division protein FtsI/penicillin-binding protein 2	599
2508550450	490	28.64	294	488	23	221	7.0e-10	59.1	COG1266	Membrane protease YdiL, CAAX protease family	226
2508550451	436	39.49	222	414	4	196	1.0e-37	151	COG0406	Broad specificity phosphatase PhoE	208
2508550452	423	28.33	5	406	3	411	6.0e-45	175	COG0044	Dihydroorotase or related cyclic amidohydrolase	430
2508550453	248	28.93	35	165	9	166	4.0e-12	65.4	COG0681	Signal peptidase I	166
2508550455	122	37.07	8	122	3	116	2.0e-24	104	COG1393	Arsenate reductase and related proteins, glutaredoxin family	117
2508550456	120	34.69	1	96	1	95	2.0e-11	61.2	COG0633	Ferredoxin	102
2508550461	437	57.91	1	428	1	430	0.0e+00	614	COG0104	Adenylosuccinate synthase	430
2508550462	332	30.09	9	332	1	308	3.0e-38	152	COG0524	Sugar or nucleoside kinase, ribokinase family	311
2508550463	129	41.41	11	107	5	103	3.0e-20	91.1	COG1324	Uncharacterized protein involved in tolerance to divalent cations	104
2508550464	287	31.3	27	268	3	237	3.0e-25	109	COG2099	Precorrin-6x reductase	257
2508550465	172	21.76	10	172	16	167	2.0e-10	58.9	COG0629	Single-stranded DNA-binding protein	167
2508550468	298	56.23	29	290	1	264	3.0e-82	299	COG0548	Acetylglutamate kinase	265
2508550470	787	39.53	29	787	14	730	0.0e+00	590	COG1198	Primosomal protein N' (replication factor Y) - superfamily II helicase	730
2508550471	432	50.89	119	431	6	341	4.0e-89	321	COG0568	DNA-directed RNA polymerase, sigma subunit (sigma70/sigma32)	342
2508550472	369	21	9	275	4	278	2.0e-16	80.6	COG0463	Glycosyltransferase involved in cell wall bisynthesis	291
2508550473	604	30.2	28	531	11	489	8.0e-33	135	COG1807	4-amino-4-deoxy-L-arabinose transferase or related glycosyltransferase of PMT family	535
2508550474	220	24.47	16	202	26	212	2.0e-03	35.9	COG0671	Membrane-associated phospholipid phosphatase	232
2508550476	317	54.9	5	309	3	305	2.0e-103	369	COG0181	Porphobilinogen deaminase	307
2508550477	681	42.11	138	494	63	417	1.0e-46	181	COG0038	H+/Cl- antiporter ClcA	443
2508550479	201	21.35	23	200	61	229	6.0e-12	64.5	COG1376	Lipoprotein-anchoring transpeptidase ErfK/SrfK	232
2508550480	195	44.71	16	185	3	169	8.0e-40	156	COG0221	Inorganic pyrophosphatase	171
2508550481	508	36.93	7	502	6	496	1.0e-118	420	COG2317	Zn-dependent carboxypeptidase, M32 family	497
2508550482	83	32.43	1	74	2	75	2.0e-08	50.8	COG4118	Antitoxin component of toxin-antitoxin stability system, DNA-binding transcriptional repressor	84
2508550483	130	44.88	4	130	3	129	1.0e-26	112	COG3744	PIN domain nuclease, a component of toxin-antitoxin system (PIN domain)	130
2508550485	138	20	1	128	1	129	3.0e-10	57.7	COG1765	Uncharacterized OsmC-related protein	137
2508550487	513	27.95	1	494	3	478	5.0e-56	212	COG1233	Phytoene dehydrogenase-related protein	487
2508550488	368	23.05	20	325	30	296	1.0e-21	97.9	COG3239	Fatty acid desaturase	343
2508550489	150	34.9	2	149	1	137	2.0e-34	138	COG0432	Thiamin phosphate synthase YjbQ, UPF0047 family	137
2508550490	95	48.96	1	94	1	96	3.0e-26	109	COG2154	Pterin-4a-carbinolamine dehydratase	101
2508550491	172	29.68	16	168	2	150	1.0e-19	89.6	COG4636	Endonuclease, Uma2 family (restriction endonuclease fold)	200
2508550493	90	40	1	80	7	86	4.0e-09	53	COG4453	Uncharacterized conserved protein, DUF1778 family	95
2508550495	157	32.46	35	145	11	124	5.0e-08	50.8	COG1051	ADP-ribose pyrophosphatase YjhB, NUDIX family	145
2508550496	877	57.61	8	864	2	785	0.0e+00	967	COG0542	ATP-dependent Clp protease ATP-binding subunit ClpA	786
2508550500	343	19.79	10	279	2	273	6.0e-13	68.5	COG0451	Nucleoside-diphosphate-sugar epimerase	314
2508550501	352	43.5	1	348	1	352	2.0e-101	363	COG0407	Uroporphyrinogen-III decarboxylase	352
2508550502	764	54.14	106	750	6	628	0.0e+00	740	COG0296	1,4-alpha-glucan branching enzyme	628
2508550504	555	28.08	10	521	25	528	3.0e-54	206	COG2936	Predicted acyl esterase	563
2508550512	186	40.66	2	182	73	254	1.0e-38	152	COG1484	DNA replication protein DnaC	254
2508550515	985	27.46	546	964	16	436	8.0e-62	232	COG0612	Predicted Zn-dependent peptidase	438
2508550516	326	32.18	66	323	1	228	2.0e-25	110	COG3039	Transposase and inactivated derivatives, IS5 family	230
2508550521	304	37.34	9	303	3	309	5.0e-50	191	COG1940	Sugar kinase of the NBD/HSP70 family, may contain an N-terminal HTH domain	314
2508550522	447	48.43	23	431	5	417	0.0e+00	487	COG0014	Gamma-glutamyl phosphate reductase	417
2508550523	120	28.33	1	119	1	120	2.0e-20	91.4	COG1539	Dihydroneopterin aldolase	121
2508550524	448	29.22	14	435	4	430	2.0e-24	107	COG0531	Amino acid transporter	466
2508550532	114	39.13	16	106	4	95	2.0e-14	70.7	COG2154	Pterin-4a-carbinolamine dehydratase	101
2508550538	225	36.31	4	162	26	189	4.0e-21	94.9	COG1525	Endonuclease YncB, thermonuclease family	192
2508550539	249	50.58	71	241	3	173	1.0e-59	223	COG0225	Peptide methionine sulfoxide reductase MsrA	174
2508550540	529	25.27	285	470	60	224	5.0e-05	43.1	COG2801	Transposase InsO and inactivated derivatives	232
2508550548	389	30.04	143	364	12	220	4.0e-15	76.2	COG2801	Transposase InsO and inactivated derivatives	232
2508550550	222	22.27	22	187	28	233	4.0e-09	54.9	COG1191	DNA-directed RNA polymerase specialized sigma subunit	247
2508550561	361	25.27	117	302	60	224	8.0e-05	41.9	COG2801	Transposase InsO and inactivated derivatives	232
2508550569	289	31.49	1	286	11	296	2.0e-39	156	COG1295	Uncharacterized membrane protein, BrkB/YihY/UPF0761 family (not an RNase)	303
2508550570	434	29.89	1	428	11	410	2.0e-40	160	COG2124	Cytochrome P450	411
2508550573	276	41.57	6	260	1	252	5.0e-52	198	COG0390	ABC-type iron transport system FetAB, permease component	256
2508550574	216	33.49	5	216	2	209	4.0e-36	144	COG4619	ABC-type iron transport system FetAB, ATPase component	223
2508550576	329	67.59	5	327	1	321	0.0e+00	522	COG0435	Glutathionyl-hydroquinone reductase	324
2508550577	422	39.52	8	416	7	407	1.0e-87	316	COG1649	Uncharacterized lipoprotein YddW, UPF0748 family	418
2508550588	348	30.79	31	329	31	318	2.0e-43	169	COG0598	Mg2+ and Co2+ transporter CorA	322
2508550589	64	57.14	6	47	9	50	6.0e-08	49.3	COG4338	Uncharacterized protein	54
2508550592	343	38.24	235	336	6	103	7.0e-16	78.4	COG3502	Uncharacterized conserved protein, DUF952 family	115
2508550593	312	44.74	2	304	6	303	1.0e-95	343	COG1054	Predicted sulfurtransferase	308
2508550594	334	51.42	4	318	11	324	2.0e-102	365	COG0502	Biotin synthase or related enzyme	335
2508550595	262	59	16	254	7	245	1.0e-88	319	COG0020	Undecaprenyl pyrophosphate synthase	245
2508550596	271	36.21	5	245	10	247	8.0e-40	157	COG1624	Diadenylate cyclase (c-di-AMP synthetase), DisA_N domain	247
2508550597	474	40.35	43	443	2	394	2.0e-102	366	COG0019	Diaminopimelate decarboxylase	394
2508550599	849	53.73	4	834	1	784	0.0e+00	957	COG0542	ATP-dependent Clp protease ATP-binding subunit ClpA	786
2508550600	367	30.14	7	365	3	359	7.0e-65	241	COG0371	Glycerol dehydrogenase or related enzyme, iron-containing ADH family	360
2508550601	303	29.43	49	290	19	274	3.0e-10	59.7	COG0596	Pimeloyl-ACP methyl ester carboxylesterase	282
2508550602	157	41.32	45	154	16	136	1.0e-21	95.8	COG4446	Uncharacterized conserved protein, DUF1499 family	141
2508550603	512	27.42	17	391	2	328	2.0e-16	81.2	COG3380	Predicted NAD/FAD-dependent oxidoreductase	331
2508550606	301	32.63	13	295	5	265	3.0e-29	122	COG0575	CDP-diglyceride synthetase	265
2508550607	199	41.27	11	199	1	186	7.0e-41	160	COG2242	Precorrin-6B methylase 2	187
2508550608	453	27.18	9	434	23	521	8.0e-61	228	COG1982	Arginine/lysine/ornithine decarboxylase	557
2508550609	571	36.36	37	531	17	505	1.0e-108	387	COG0661	Predicted unusual protein kinase regulating ubiquinone biosynthesis, AarF/ABC1/UbiB family	517
2508550615	335	44.95	25	330	9	335	3.0e-76	278	COG0568	DNA-directed RNA polymerase, sigma subunit (sigma70/sigma32)	342
2508550616	239	45.76	3	231	2	237	4.0e-60	224	COG1187	16S rRNA U516 pseudouridylate synthase RsuA and related 23S rRNA U2605, pseudouridylate synthases	248
2508550618	517	33.46	6	512	14	520	1.0e-97	350	COG1640	4-alpha-glucanotransferase	520
2508550619	406	26.06	24	369	1	328	2.0e-59	222	COG1035	Coenzyme F420-reducing hydrogenase, beta subunit	332
2508550620	336	21.01	36	309	3	261	1.0e-26	113	COG1316	Anionic cell wall polymer biosynthesis enzyme,  LytR-Cps2A-Psr (LCP) family	307
2508550621	721	27.61	8	137	6	129	5.0e-12	66.9	COG4639	Predicted kinase	168
2508550622	124	22.88	1	106	3	117	2.0e-05	41.3	COG1487	Predicted nucleic acid-binding protein, contains PIN domain	133
2508550628	561	25.24	242	554	7	314	3.0e-45	176	COG3472	Uncharacterized protein	342
2508550638	133	24.62	3	127	2	125	3.0e-07	47.9	COG1487	Predicted nucleic acid-binding protein, contains PIN domain	133
2508550642	335	55.1	24	335	3	314	6.0e-118	417	COG0462	Phosphoribosylpyrophosphate synthetase	314
2508550643	417	29.44	24	409	13	390	3.0e-60	226	COG1649	Uncharacterized lipoprotein YddW, UPF0748 family	418
2508550648	910	34.75	2	897	10	859	0.0e+00	516	COG0308	Aminopeptidase N	859
2508550654	783	38.76	238	444	21	228	3.0e-52	200	COG1131	ABC-type multidrug transport system, ATPase component	293
2508550657	373	30.04	127	348	12	220	2.0e-15	77.3	COG2801	Transposase InsO and inactivated derivatives	232
2508550658	529	25.27	285	470	60	224	3.0e-05	43.8	COG2801	Transposase InsO and inactivated derivatives	232
2508550659	809	33.87	253	808	156	709	4.0e-110	393	COG2274	ABC-type bacteriocin/lantibiotic exporters, contain an N-terminal double-glycine peptidase domain	709
2508550661	715	34.78	3	713	1	706	0.0e+00	516	COG2274	ABC-type bacteriocin/lantibiotic exporters, contain an N-terminal double-glycine peptidase domain	709
2508550664	368	22.66	12	139	7	127	1.0e-03	37.6	COG3415	Transposase	138
2508550672	361	20.16	55	297	2	220	4.0e-07	49.2	COG2801	Transposase InsO and inactivated derivatives	232
2508550696	507	51.01	15	507	1	483	0.0e+00	635	COG0364	Glucose-6-phosphate 1-dehydrogenase	483
2508550697	432	24.08	116	409	32	310	1.0e-22	101	COG3429	Glucose-6-phosphate dehydrogenase assembly protein OpcA, contains a peptidoglycan-binding domain	314
2508550698	495	42.86	1	478	1	451	6.0e-119	421	COG1797	Cobyrinic acid a,c-diamide synthase	451
2508550699	94	48.57	8	77	5	74	1.0e-16	78	COG1254	Acylphosphatase	92
2508550703	181	41.94	11	165	4	151	1.0e-30	126	COG1963	Acid phosphatase family membrane protein YuiD	153
2508550704	300	43.47	10	299	2	321	4.0e-67	248	COG0142	Geranylgeranyl pyrophosphate synthase	322
2508550706	293	54.96	3	283	1	282	8.0e-93	333	COG0190	5,10-methylene-tetrahydrofolate dehydrogenase/Methenyl tetrahydrofolate cyclohydrolase	283
2508550707	696	28.63	35	687	21	693	6.0e-97	348	COG1480	Membrane-associated HD superfamily phosphohydrolase	700
2508550708	144	40.48	16	137	2	125	3.0e-14	71	COG0239	Fluoride ion exporter CrcB/FEX, affects chromosome condensation	126
2508550709	123	37.7	1	121	1	122	4.0e-14	70.2	COG0239	Fluoride ion exporter CrcB/FEX, affects chromosome condensation	126
2508550710	91	32.1	4	84	3	83	2.0e-11	61	COG4095	Uncharacterized conserved protein, contains PQ loop repeat	89
2508550713	278	45.91	1	277	1	281	2.0e-59	223	COG0395	ABC-type glycerol-3-phosphate transport system, permease component	281
2508550714	541	51.87	7	431	2	409	4.0e-122	432	COG0119	Isopropylmalate/homocitrate/citramalate synthases	409
2508550715	521	39.96	4	520	3	504	2.0e-119	422	COG1543	Predicted glycosyl hydrolase, contains GH57 and DUF1957 domains	504
2508550716	249	60.17	9	249	2	240	5.0e-104	370	COG1126	ABC-type polar amino acid transport system, ATPase component	240
2508550717	403	44.23	190	397	19	221	2.0e-41	163	COG0765	ABC-type amino acid transport system, permease component	222
2508550718	340	36.03	18	340	15	397	2.0e-66	246	COG4597	ABC-type amino acid transport system, permease component	397
2508550719	352	30.94	3	261	2	254	2.0e-23	103	COG0834	ABC-type amino acid transport/signal transduction system, periplasmic component/domain	275
2508550722	351	25.76	10	269	5	260	9.0e-23	101	COG0834	ABC-type amino acid transport/signal transduction system, periplasmic component/domain	275
2508550723	133	40.74	1	132	47	181	5.0e-30	123	COG2335	Uncaracterized surface protein containing fasciclin (FAS1) repeats	187
2508550725	518	36.85	6	479	6	482	1.0e-96	347	COG1008	NADH:ubiquinone oxidoreductase subunit 4 (chain M)	497
2508550726	638	34.77	9	621	1	606	7.0e-81	295	COG1009	NADH:ubiquinone oxidoreductase subunit 5 (chain L)/Multisubunit Na+/H+ antiporter, MnhA subunit	606
2508550727	921	40.92	10	917	23	917	0.0e+00	775	COG0474	Magnesium-transporting ATPase (P-type)	917
2508550728	389	28.28	5	388	3	395	2.0e-23	103	COG0475	Kef-type K+ transport system, membrane component KefB	397
2508550729	626	17.45	50	478	32	464	8.0e-24	105	COG0531	Amino acid transporter	466
2508550730	606	20.44	97	596	48	448	9.0e-28	118	COG0471	Di- and tricarboxylate transporter	461
2508550731	221	36.98	12	200	3	194	1.0e-28	119	COG0586	Uncharacterized membrane protein DedA, SNARE-associated domain	208
2508550734	164	45.22	1	157	1	151	1.0e-46	179	COG0242	Peptide deformylase	168
2508550735	542	18.99	31	499	2	430	4.0e-16	80.2	COG2252	Xanthine/uracil/vitamin C permease, AzgA family	436
2508550736	257	40.79	31	255	1	228	2.0e-32	132	COG1814	Predicted Fe2+/Mn2+ transporter, VIT1/CCC1 family	229
2508550737	181	26.99	10	171	2	154	1.0e-12	66.8	COG2862	Uncharacterized membrane protein YqhA	169
2508550738	353	62.72	5	350	4	344	0.0e+00	492	COG0418	Dihydroorotase	344
2508550739	300	22.22	4	127	22	135	4.0e-03	35.8	COG3187	Heat shock protein HslJ	142
2508550741	121	47.66	7	113	3	108	6.0e-24	103	COG0393	Uncharacterized conserved protein YbjQ, UPF0145 family	108
2508550742	473	40.71	22	467	19	450	1.0e-96	346	COG0770	UDP-N-acetylmuramyl pentapeptide synthase	451
2508550744	514	42.38	1	455	1	478	0.0e+00	492	COG0297	Glycogen synthase	487
2508550745	183	25	1	181	49	228	1.0e-16	79.5	COG1376	Lipoprotein-anchoring transpeptidase ErfK/SrfK	232
2508550746	317	31.76	13	169	2	170	2.0e-10	60	COG2203	GAF domain	175
2508550748	165	25.35	13	152	6	137	5.0e-14	70.8	COG2172	Anti-sigma regulatory factor (Ser/Thr protein kinase)	146
2508550749	337	46.31	133	334	30	224	4.0e-62	232	COG2148	Sugar transferase involved in LPS biosynthesis (colanic, teichoic acid)	226
2508550750	159	50	1	157	1	156	3.0e-43	167	COG5017	UDP-N-acetylglucosamine transferase subunit ALG13	161
2508550753	423	23.87	8	417	1	416	4.0e-21	96.3	COG2244	Membrane protein involved in the export of O-antigen and teichoic acid	480
2508550754	328	31.06	55	328	89	378	1.0e-27	117	COG0438	Glycosyltransferase involved in cell wall bisynthesis	381
2508550755	355	26.7	28	243	42	239	5.0e-18	85.5	COG1596	Periplasmic protein involved in polysaccharide export, contains SLBB domain of the beta-grasp fold	239
2508550756	477	17.33	29	474	20	458	1.0e-20	95.1	COG3206	Uncharacterized protein involved in exopolysaccharide biosynthesis	458
2508550759	554	32.32	76	402	25	336	4.0e-41	163	COG0642	Signal transduction histidine kinase	336
2508550760	139	32.2	22	138	2	118	2.0e-03	34.7	COG2198	HPt (histidine-containing phosphotransfer) domain	122
2508550761	408	26.9	117	400	96	366	8.0e-42	164	COG2208	Serine phosphatase RsbU, regulator of sigma subunit	367
2508550762	88	35.23	1	87	16	103	2.0e-09	53.9	COG1366	Anti-anti-sigma regulatory factor (antagonist of anti-sigma factor)	117
2508550763	284	67.96	3	284	2	282	1.0e-125	443	COG0447	1,4-Dihydroxy-2-naphthoyl-CoA synthase	282
2508550764	630	35.69	22	611	1	557	1.0e-99	357	COG1165	2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase	566
2508550765	201	30.97	27	179	14	146	3.0e-10	58.5	COG0681	Signal peptidase I	166
2508550768	290	47.25	5	276	2	274	2.0e-54	206	COG1108	ABC-type Mn2+/Zn2+ transport system, permease component	274
2508550769	263	47.64	14	246	5	237	8.0e-79	287	COG1121	ABC-type Mn2+/Zn2+ transport system, ATPase component	254
2508550770	340	35.89	55	339	18	303	2.0e-79	289	COG0803	ABC-type Zn uptake system ZnuABC, Zn-binding component ZnuA	303
2508550775	345	52.19	10	323	5	314	4.0e-109	388	COG0180	Tryptophanyl-tRNA synthetase	314
2508550776	216	37.42	58	207	30	175	6.0e-22	97.7	COG4678	Muramidase (phage lambda lysozyme)	180
2508550778	615	52.92	27	608	16	583	0.0e+00	705	COG0441	Threonyl-tRNA synthetase	589
2508550779	343	37.09	3	339	7	318	5.0e-55	208	COG0837	Glucokinase	320
2508550780	324	42	10	309	4	296	8.0e-70	257	COG0083	Homoserine kinase	299
2508550781	527	45.33	22	519	2	493	8.0e-124	437	COG1008	NADH:ubiquinone oxidoreductase subunit 4 (chain M)	497
2508550782	704	47.09	1	701	3	683	0.0e+00	712	COG0339	Zn-dependent oligopeptidase	683
2508550785	422	20.61	42	420	33	412	3.0e-11	63.3	COG2223	Nitrate/nitrite transporter NarK	417
2508550786	421	32.13	1	404	1	402	3.0e-67	249	COG1252	NADH dehydrogenase, FAD-containing subunit	405
2508550787	731	39.31	246	704	4	454	7.0e-105	375	COG1249	Pyruvate/2-oxoglutarate dehydrogenase complex, dihydrolipoamide dehydrogenase (E3) component or related enzyme	454
2508550788	182	21.29	11	165	8	157	7.0e-07	47.2	COG3476	Tryptophan-rich sensory protein (mitochondrial benzodiazepine receptor homolog)	161
2508550789	124	45.6	1	124	5	126	8.0e-27	112	COG3324	Predicted enzyme related to lactoylglutathione lyase	127
2508550790	458	50.11	1	445	2	452	0.0e+00	570	COG1207	Bifunctional protein GlmU, N-acetylglucosamine-1-phosphate-uridyltransferase/glucosamine-1-phosphate-acetyltransferase	460
2508550791	308	25.35	26	213	14	224	8.0e-13	68.1	COG4121	tRNA U34 5-methylaminomethyl-2-thiouridine-forming methyltransferase MnmC	252
2508550792	453	45.98	24	451	6	424	5.0e-117	415	COG0128	5-enolpyruvylshikimate-3-phosphate synthase	428
2508550796	252	44.33	4	202	15	216	3.0e-48	185	COG2227	2-polyprenyl-3-methyl-5-hydroxy-6-metoxy-1,4-benzoquinol methylase	243
2508550797	147	36.64	1	128	2	131	5.0e-20	90.4	COG1959	DNA-binding transcriptional regulator, IscR family	150
2508550798	526	47.52	17	500	4	477	0.0e+00	557	COG0043	3-polyprenyl-4-hydroxybenzoate decarboxylase	477
2508550799	251	41.25	11	250	4	227	1.0e-45	177	COG2045	Phosphosulfolactate phosphohydrolase or related enzyme	230
2508550800	272	40.44	2	267	1	262	1.0e-52	199	COG0388	Predicted amidohydrolase	274
2508550801	366	38.61	174	363	31	229	2.0e-43	169	COG0860	N-acetylmuramoyl-L-alanine amidase	231
2508550802	274	41.41	5	257	8	256	1.0e-60	226	COG0796	Glutamate racemase	269
2508550803	317	38.94	1	317	3	322	1.0e-65	243	COG0142	Geranylgeranyl pyrophosphate synthase	322
2508550804	219	36.76	4	207	1	200	5.0e-33	134	COG0637	Beta-phosphoglucomutase or related phosphatase, HAD superfamily	221
2508550806	150	30	3	150	10	158	1.0e-16	78.8	COG3476	Tryptophan-rich sensory protein (mitochondrial benzodiazepine receptor homolog)	161
2508550807	657	49.2	79	640	1	527	0.0e+00	682	COG0365	Acyl-coenzyme A synthetase/AMP-(fatty) acid ligase	528
2508550809	154	43.23	5	153	4	157	3.0e-39	154	COG1225	Peroxiredoxin	157
2508550810	281	24.47	37	261	4	235	2.0e-15	76.4	COG0847	DNA polymerase III, epsilon subunit or related 3'-5' exonuclease	243
2508550816	238	47.53	31	192	1	160	6.0e-60	223	COG0225	Peptide methionine sulfoxide reductase MsrA	174
2508550818	582	33.33	17	576	13	567	3.0e-107	382	COG1132	ABC-type multidrug transport system, ATPase and permease component	567
2508550820	352	47.02	10	345	1	334	2.0e-95	342	COG0547	Anthranilate phosphoribosyltransferase	338
2508550821	398	52.13	26	398	2	366	0.0e+00	493	COG0505	Carbamoylphosphate synthase small subunit	368
2508550822	127	30.48	24	126	12	116	3.0e-09	54.3	COG1366	Anti-anti-sigma regulatory factor (antagonist of anti-sigma factor)	117
2508550823	135	36.15	1	127	1	130	6.0e-21	93	COG1939	23S rRNA maturation mini-RNase III	132
2508550824	611	41.47	198	454	9	260	9.0e-61	228	COG0566	tRNA G18 (ribose-2'-O)-methylase SpoU	260
2508550826	490	55.4	1	484	7	474	0.0e+00	511	COG0154	Asp-tRNAAsn/Glu-tRNAGln amidotransferase A subunit or related amidase	475
2508550827	132	32.54	1	125	5	129	1.0e-15	75.8	COG4319	Ketosteroid isomerase homolog	137
2508550830	1176	50	1	1148	2	1121	0.0e+00	1276	COG0587	DNA polymerase III, alpha subunit	1139
2508550832	89	48.86	1	88	1	88	2.0e-20	91	COG0184	Ribosomal protein S15P/S13E	89
2508550833	216	35.85	1	212	1	201	1.0e-43	169	COG0632	Holliday junction resolvasome RuvABC DNA-binding subunit	201
2508550837	694	39.33	5	509	1	491	4.0e-107	382	COG0358	DNA primase (bacterial type)	568
2508550838	332	39.44	148	326	1	179	2.0e-27	116	COG2199	GGDEF domain, diguanylate cyclase (c-di-GMP synthetase) or its enzymatically inactive variants	181
2508550839	426	27.78	6	358	4	351	3.0e-46	179	COG0389	Nucleotidyltransferase/DNA polymerase involved in DNA repair	354
2508550843	530	41.96	275	529	4	256	3.0e-61	229	COG2200	EAL domain, c-di-GMP-specific phosphodiesterase class I (or its enzymatically inactive variant)	256
2508550846	127	41.94	12	104	1	92	3.0e-17	81	COG0792	Predicted endonuclease distantly related to archaeal Holliday junction resolvase	114
2508550848	281	40.98	7	272	3	256	7.0e-67	247	COG0030	16S rRNA A1518 and A1519 N6-dimethyltransferase RsmA/KsgA/DIM1 (may also have DNA glycosylase/AP lyase activity)	259
2508550849	316	41.78	1	288	1	271	6.0e-62	231	COG1947	4-diphosphocytidyl-2C-methyl-D-erythritol kinase	289
2508550852	327	52.65	3	322	1	321	6.0e-127	447	COG0022	Pyruvate/2-oxoglutarate/acetoin dehydrogenase complex, dehydrogenase (E1) component	324
2508550853	508	40.52	28	486	106	504	4.0e-83	302	COG0342	Preprotein translocase subunit SecD	506
2508550854	317	35.62	13	317	14	292	3.0e-52	198	COG0341	Preprotein translocase subunit SecF	305
2508550856	335	32.65	1	333	12	350	1.0e-24	107	COG0628	Predicted PurR-regulated permease PerM	355
2508550857	357	31.05	7	356	18	355	5.0e-26	112	COG0628	Predicted PurR-regulated permease PerM	355
2508550863	427	33.78	3	421	1	437	5.0e-74	272	COG0174	Glutamine synthetase	443
2508550865	398	45.36	23	395	3	376	5.0e-112	398	COG0075	Archaeal aspartate aminotransferase or a related aminotransferase, includes purine catabolism protein PucG	383
2508550866	167	46.48	10	151	11	152	4.0e-36	143	COG0590	tRNA(Arg) A34 adenosine deaminase TadA	152
